Service,Resource Count,Total Attributes,Resource Name,Attribute Count
,,,compute_region_disk,27
,,,compute_region_disk_iam,6
,,,compute_region_disk_resource_policy_attachment,4
,,,compute_region_health_check,49
,,,compute_region_instance_group_manager,50
,,,compute_region_instance_template,97
,,,compute_region_network_endpoint,8
,,,compute_region_network_endpoint_group,21
,,,compute_region_network_firewall_policy,5
,,,compute_region_network_firewall_policy_association,5
,,,compute_region_network_firewall_policy_rule,34
,,,compute_region_network_firewall_policy_with_rules,38
,,,compute_region_per_instance_config,23
,,,compute_region_resize_request,8
,,,compute_region_security_policy,62
,,,compute_region_security_policy_rule,51
,,,compute_region_ssl_certificate,7
,,,compute_region_ssl_policy,7
,,,compute_region_target_http_proxy,6
,,,compute_region_target_https_proxy,10
,,,compute_region_target_tcp_proxy,7
,,,compute_region_url_map,125
,,,compute_reservation,28
,,,compute_resize_request,8
,,,compute_resource_policy,40
,,,compute_resource_policy_attachment,4
,,,compute_route,14
,,,compute_router,17
,,,compute_router_interface,11
,,,compute_router_nat,36
,,,compute_router_nat_address,6
,,,compute_router_peer,33
,,,compute_router_route_policy,16
,,,compute_security_policy,93
,,,compute_security_policy_rule,52
,,,compute_service_attachment,16
,,,compute_shared_vpc_host_project,1
,,,compute_shared_vpc_service_project,3
,,,compute_snapshot,17
,,,compute_snapshot_iam,5
,,,compute_snapshot_settings,5
,,,compute_ssl_certificate,6
,,,compute_ssl_policy,6
,,,compute_storage_pool,12
,,,compute_storage_pool_iam,9
,,,compute_subnetwork,27
,,,compute_subnetwork_iam,9
,,,compute_target_grpc_proxy,5
,,,compute_target_http_proxy,6
,,,compute_target_https_proxy,13
,,,compute_target_instance,8
,,,compute_target_pool,10
,,,compute_target_ssl_proxy,8
,,,compute_target_tcp_proxy,6
,,,compute_url_map,149
,,,compute_vpn_gateway,5
,,,compute_vpn_tunnel,26
,,,compute_wire_group,13
,,,project_usage_export_bucket,0

Contact_Center_AI_Insights,2,27,contact_center_insights_analysis_rule,23
,,,contact_center_insights_view,4

ContainerAttached,1,23,container_attached_cluster,23

ContainerAws,2,104,container_aws_cluster,53
,,,container_aws_node_pool,51

ContainerAzure,3,70,container_azure_client,5
,,,container_azure_cluster,41
,,,container_azure_node_pool,24

Container_Registry,4,25,container_analysis_note,10
,,,container_analysis_note_iam,5
,,,container_analysis_occurrence,8
,,,container_registry,2

DataPipeline,1,51,data_pipeline_pipeline,51

Data_Catalog,10,76,data_catalog_entry,13
,,,data_catalog_entry_group,5
,,,data_catalog_entry_group_iam,6
,,,data_catalog_policy_tag,4
,,,data_catalog_policy_tag_iam,4
,,,data_catalog_tag,11
,,,data_catalog_tag_template,16
,,,data_catalog_tag_template_iam,6
,,,data_catalog_taxonomy,5
,,,data_catalog_taxonomy_iam,6

Data_Loss_Prevention,5,468,data_loss_prevention_deidentify_template,156
,,,data_loss_prevention_discovery_config,97
,,,data_loss_prevention_inspect_template,60
,,,data_loss_prevention_job_trigger,134
